embedding_text,category,label,predicted_label,predicted_category
مسحوق منظف الأطباق برائحة الليمون مسحوق 500جم,Cleaning Supplies,9,9,Cleaning Supplies
جبنه كيري مكس جبنه,Dairy & Eggs,12,3,Beef & Processed Meat
popz paprika microwave popcorn Popz 85G,Chips & Crackers,7,11,Cooking Ingredients
لمتنا مكرونة فرن لمتنا 400جم,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
فن داي كعك فانيليا مع فواكه مجففة فن,Bakery,1,11,Cooking Ingredients
ريتش بيك خبز لبنانى ريتش 200جم,Bakery,1,28,"Rice, Pasta & Pulses"
كوكيز ميربا برقائق الشيكولاتة كوكيز 150جم,Biscuits & Cakes,4,30,Soft Drinks & Juices
halwani bastrami turkey smoked Bastrami,Poultry,27,3,Beef & Processed Meat
فواكه فواكه,"Chocolates, Sweets & Desserts",8,4,Biscuits & Cakes
montana mixed vegetables m Montana 400g,Vegetables & Fruits,36,37,Vegetables & Herbs
corona mary biscuits m Corona 100G,Biscuits & Cakes,4,4,Biscuits & Cakes
صن شاين سردين بارد صن 125جم,"Tins, Jars & Packets",35,6,Candles & Air Fresheners
2 mineral water Water,Water,38,38,Water
اسيا ارز 1ك اسيا,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
دريم شوكو مشروب 1 925 1 925 دريم,Soft Drinks & Juices,30,34,"Tea, Coffee & Hot Drinks"
رويال شاى أخضر بالنعناع 20 فتلة رويال,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
aptamil advance stage 3 Advance 400G,Dairy & Eggs,12,3,Beef & Processed Meat
عصير مانجو من بيتي عصير 1لتر,Soft Drinks & Juices,30,30,Soft Drinks & Juices
حليب رايب اكتيفيا حليب 220ج,Dairy & Eggs,12,34,"Tea, Coffee & Hot Drinks"
سير جهينة مانجو سير 1لتر,Soft Drinks & Juices,30,20,Laundry & Detergents
cleaning brush magic melamine sponge Brush,Cleaning Supplies,9,9,Cleaning Supplies
اوعوف معمول ساده بالعجوه اوعوف,Bakery,1,30,Soft Drinks & Juices
صوص شطة خضراء سيراتشا حار فلاينج جوس صوص 200مل,"Sauces, Dressings & Condiments",29,11,Cooking Ingredients
بيبسي محمول بيبسي ١لتر,Soft Drinks & Juices,30,30,Soft Drinks & Juices
ريحان ابو علي ريحان 30جم,Cooking Ingredients,11,22,"Nuts, Dates & Dried Fruits"
صدور بط مجمد وزن صدور,Poultry,27,3,Beef & Processed Meat
سليب توكس مساعد النوم الليلي شاي سليب كيس,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
ماجي مرقة 12 مكعب ماجي,Cooking Ingredients,11,28,"Rice, Pasta & Pulses"
مايونيز جياردينو مايونيز 280جم,"Sauces, Dressings & Condiments",29,30,Soft Drinks & Juices
todo brownies cake1 piece Todo,Biscuits & Cakes,4,4,Biscuits & Cakes
miro strawberry flavored instant milk drink powder ram Miro 30g,Dairy & Eggs,12,30,Soft Drinks & Juices
اكوافينا مياه معدنيه جالون 19ل اكوافينا,Water,38,38,Water
قرفه مطحونه وزن قرفه,Cooking Ingredients,11,3,Beef & Processed Meat
tc boy tuna chunks diet m Tc 185G,"Tins, Jars & Packets",35,11,Cooking Ingredients
المطبخ مكرونه شعريه المطبخ,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
schweppes tonic water pet Schweppes 1L,Soft Drinks & Juices,30,26,Pets Care
temry whole chicken 1000m Temry 1100g,Poultry,27,27,Poultry
بيبسى دايت كانز بيبسى 330مل,Soft Drinks & Juices,30,22,"Nuts, Dates & Dried Fruits"
al doha crushed beans r Doha 500G,"Rice, Pasta & Pulses",28,22,"Nuts, Dates & Dried Fruits"
domty fino bread with ashes Domty,Bakery,1,1,Bakery
فليفلة صفراء فليفلة 500جم,"Rice, Pasta & Pulses",28,19,"Jams, Spreads & Syrups"
jusprin 81 mg 60 tab علبه Jusprin,Nan,21,30,Soft Drinks & Juices
بسكويت اوريو 12 ق بسكويت 57ج,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
deemah banana cream circles ram Deemah 68G,Biscuits & Cakes,4,5,Breakfast Cereals & Bars
نيدو حليب مجفف كامل الدسم، رام نيدو 100ج,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
بطاطس تحمير 2840 9 2556 بطاطس,Vegetables & Fruits,36,28,"Rice, Pasta & Pulses"
350 juice orange small 1 3.50,Soft Drinks & Juices,30,30,Soft Drinks & Juices
صوص سيزك صوص,"Sauces, Dressings & Condiments",29,33,Sweets & Desserts
800 800 مياه معدنيه ص 1 8.00,Water,38,30,Soft Drinks & Juices
تست فصوص رومى مدخن وزن تست,Poultry,27,11,Cooking Ingredients
900 450 2 مولتو ماجنم تشيز كيك فراولة 1ق 9.00,Bakery,1,11,Cooking Ingredients
ميرندا كانز ميرندا 300مل,Soft Drinks & Juices,30,6,Candles & Air Fresheners
مسحوق غسيل اوكسي برايت اتوماتيك، لافندر مسحوق 4كجم,Cleaning Supplies,9,20,Laundry & Detergents
سيارا فراخ مجمد سيارا 1000جم,Poultry,27,32,Sugar & Home Baking
أرز الصحابة أرز 1كجم,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
000 1p nuggets pcs 6 1 0.00,Poultry,27,11,Cooking Ingredients
شويبس صودا 250م شويبس,Soft Drinks & Juices,30,30,Soft Drinks & Juices
pringles salt Unknown,Chips & Crackers,7,11,Cooking Ingredients
1 فول امريكانا بصلصة الطماطم 10 10 فول,"Tins, Jars & Packets",35,11,Cooking Ingredients
لمار عصير عنب احمر لمار 1لتر,Soft Drinks & Juices,30,30,Soft Drinks & Juices
bon aroma decaffeinated classic instant coffee rams Bon 100g,"Tea, Coffee & Hot Drinks",34,24,Perfumes & Deodorants
معمول ابو علي بالتمر معمول 40جم,Bakery,1,5,Breakfast Cereals & Bars
ايطاليانو مكرونة شعريه ايطاليانو 1كجم,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
حلوانى لحم رومى حبشى مدخن حلوانى,Poultry,27,8,"Chocolates, Sweets & Desserts"
كرفس بلدي 1 2 2 كرفس,Vegetables & Fruits,36,37,Vegetables & Herbs
hot ketchup squeeze Hot 500g,"Sauces, Dressings & Condiments",29,11,Cooking Ingredients
مشروب جوافة فروتس مشروب 700مل,Soft Drinks & Juices,30,30,Soft Drinks & Juices
three chefs chicken wings Three 700G,Poultry,27,11,Cooking Ingredients
جود فرنس كاتشب جود 250جم,"Sauces, Dressings & Condiments",29,19,"Jams, Spreads & Syrups"
mutaheda fresh chicken thigh m Mutaheda 900g,Poultry,27,3,Beef & Processed Meat
water Water,Water,38,38,Water
اريال يدوى 1 كيلو جرام اريال,Cleaning Supplies,9,11,Cooking Ingredients
المطبخ مكرونه انواع شعريه المطبخ 400جم,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
بيبسي كانز ي بيبسي 330مل,Soft Drinks & Juices,30,30,Soft Drinks & Juices
lino oat rings with american cheddar cheese Oat 60g,Chips & Crackers,7,11,Cooking Ingredients
بطاطس شيبس فارم فريتس بطاطس 500جم,Vegetables & Fruits,36,3,Beef & Processed Meat
سلطة جبن فيتا حارة سلطة 250جم,Dairy & Eggs,12,36,Vegetables & Fruits
كاتشب باربكيو كاتشب 410جم,"Sauces, Dressings & Condiments",29,3,Beef & Processed Meat
اوكسى 3ك اوكسى,Cleaning Supplies,9,8,"Chocolates, Sweets & Desserts"
roshen whole hazelnuts dark chocolate Roshen 90g,"Chocolates, Sweets & Desserts",8,11,Cooking Ingredients
نور ملح مبلور ناعم نور 200جم,Cooking Ingredients,11,6,Candles & Air Fresheners
لبن بخيرة لبن 500جم,Dairy & Eggs,12,2,Beef & Lamb Meat
basmati golden rice Basmati 1Kg,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
النيل الابيض عيش بلدي ك 45 النيل,Bakery,1,38,Water
امريكانا جاردن خل تفاح امريكانا,"Sauces, Dressings & Condiments",29,22,"Nuts, Dates & Dried Fruits"
جهينه عصير برتقال ل جهينه 235مل,Soft Drinks & Juices,30,30,Soft Drinks & Juices
كريمه طبخ المراعى كريمه 200جم,Dairy & Eggs,12,32,Sugar & Home Baking
امريكانا ذره حلوة امريكانا 400ج,"Tins, Jars & Packets",35,8,"Chocolates, Sweets & Desserts"
شمعدان احمر الشبح ميجا شمعدان,"Chocolates, Sweets & Desserts",8,6,Candles & Air Fresheners
سفن أب عادى 10 4 40 سفن 1لتر,Soft Drinks & Juices,30,20,Laundry & Detergents
كوكى صدور بانيه كرانشى 8pc كوكى,Poultry,27,4,Biscuits & Cakes
جبنه شيدر احمر لايت كيلو جبنه,Dairy & Eggs,12,3,Beef & Processed Meat
جبنه شيدر افنتى وزن جبنه,Dairy & Eggs,12,3,Beef & Processed Meat
كانز جيب كانز,Soft Drinks & Juices,30,6,Candles & Air Fresheners
كمثري مستورد كمثري,Vegetables & Fruits,36,19,"Jams, Spreads & Syrups"
جبنه بالشطه جبنتى جبنه 500جم,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
هاينز مايونيز هاينز خل 1لرت هاينز 310جم,"Sauces, Dressings & Condiments",29,22,"Nuts, Dates & Dried Fruits"
هارفست فول مصفى هارفست 400جم,"Tins, Jars & Packets",35,3,Beef & Processed Meat
الرشيدى الاصلى طحينه، رام الرشيدى 500ج,"Sauces, Dressings & Condiments",29,28,"Rice, Pasta & Pulses"
el matbakh pasta rice Matbakh 400g,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
كلورتس لبان بالقرفة 10 قطع كلورتس,"Chocolates, Sweets & Desserts",8,5,Breakfast Cereals & Bars
رقائق سبرنج رول الكرامة، كبيرة رقائق 250جم,Bakery,1,9,Cleaning Supplies
عنب احمر كريمسون مصرى وز 2595 101 2631 عنب,Vegetables & Fruits,36,6,Candles & Air Fresheners
دومتى كريمة مطبوخة بالبابربكا دومتى 380جم,Dairy & Eggs,12,32,Sugar & Home Baking
نسكافيه بالحليب علبه نسكافيه,"Tea, Coffee & Hot Drinks",34,30,Soft Drinks & Juices
خبزلبناني بريد واي خبزلبناني 350جم,Bakery,1,22,"Nuts, Dates & Dried Fruits"
elleheimy chicken luncheon with olives approx weight Chicken 250g,Beef & Processed Meat,3,27,Poultry
bordon luncheon beef Bordon 190G,Beef & Processed Meat,3,2,Beef & Lamb Meat
المطبخ المصرى مكرونة اسباجيتي المطبخ 1كجم,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
هوت اند كريسبي بوميس بطاطس مقلية هوت 1كجم,Vegetables & Fruits,36,11,Cooking Ingredients
crystal sunflower oil spray Spray 200ML,Cooking Ingredients,11,6,Candles & Air Fresheners
harvest tomato paste 24p Harvest 50G,"Tins, Jars & Packets",35,11,Cooking Ingredients
لكسير عصير أناناس طبيعى لكسير 235مل,Soft Drinks & Juices,30,30,Soft Drinks & Juices
مكرونة قواقع كبيره ايطاليانو مكرونة 250جم,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
مارس لوح شوكولاتة 24 حبة مارس 51جم,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
سجق بقرى قليلق الدسم سجق,Beef & Processed Meat,3,30,Soft Drinks & Juices
star orzo pasta Star 1kg,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
شاي إيرل جراي شاي سعد الدين شاي كيس,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
بيور لايف مياه طبيعيه 600م30 بيور,Water,38,38,Water
atyab whole fried chicken spicy 9 counts Atyab,Poultry,27,27,Poultry
عصير خروب او دوم عصير 1لتر,Soft Drinks & Juices,30,34,"Tea, Coffee & Hot Drinks"
بيبسي كولا 250م بيبسي,Soft Drinks & Juices,30,30,Soft Drinks & Juices
water small Water,Water,38,38,Water
اكوا دلتا مياه طبيعية، اكوا 1.5لتر عبوة,Water,38,38,Water
عصير مانجو جهينه لتر عصير,Soft Drinks & Juices,30,30,Soft Drinks & Juices
اطياب بانيه برجر دجاج اطياب 400G,Poultry,27,3,Beef & Processed Meat
koki chicken strips hot Koki 1kg,Poultry,27,11,Cooking Ingredients
كبده فراخ كبده,Poultry,27,3,Beef & Processed Meat
كيف قهوه عربى بالزعفران 5 كيف,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
1275 ريتش بيتى بان 12.75 235ج,Bakery,1,26,Pets Care
بيبسى كانز 355 مم بيبسى,Soft Drinks & Juices,30,30,Soft Drinks & Juices
bshare full cream milk Bshare 1L,Dairy & Eggs,12,5,Breakfast Cereals & Bars
طحينه سيريل طحينه 300جم,"Sauces, Dressings & Condiments",29,22,"Nuts, Dates & Dried Fruits"
tilda pure original basmati rice Pure 2kg,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
ثرى شيفس بانيه فراخ عائلى حار 1ك ثرى,Poultry,27,5,Breakfast Cereals & Bars
guava egypt Guava 500g,Vegetables & Fruits,36,36,Vegetables & Fruits
دانش بسكويت ساده دانش,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
بريد واى خبز سوفت رول بريد 320جم,Bakery,1,22,"Nuts, Dates & Dried Fruits"
عبدالمعبود بن ساده فاتح رام عبدالمعبود 200ج,"Tea, Coffee & Hot Drinks",34,2,Beef & Lamb Meat
royal vermicelli pasta ram Pasta 400G,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
اولكر بسكويت شاى كبير اولكر 48جم,Biscuits & Cakes,4,34,"Tea, Coffee & Hot Drinks"
كيت كات بسكوت شكولاته كيت,"Chocolates, Sweets & Desserts",8,19,"Jams, Spreads & Syrups"
فرانسيسكو رينالدي صلصة الطماطم و الريحان فرانسيسكو ٦٨٠جم,"Sauces, Dressings & Condiments",29,28,"Rice, Pasta & Pulses"
سبرايت مشروب غازى ل سبرايت 250مل,Soft Drinks & Juices,30,30,Soft Drinks & Juices
اريال مسحوق غسيل اتوماتيك بالياسمين اريال 2.5كجم,Cleaning Supplies,9,9,Cleaning Supplies
mutaheda fresh chicken kg Mutaheda,Poultry,27,3,Beef & Processed Meat
dano full cream powder milk m Dano 900g,Dairy & Eggs,12,12,Dairy & Eggs
corona milk chocolate Corona 25g,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
istanbully cheese tastes weight Cheese,Dairy & Eggs,12,31,Stationary
كوكى ستربس حار كوكى,Poultry,27,8,"Chocolates, Sweets & Desserts"
ستار مكرونه لسان عصفور ستار 400جم,"Rice, Pasta & Pulses",28,5,Breakfast Cereals & Bars
دبوس دجاج بالعظم الوطنية 1ك دبوس,Poultry,27,27,Poultry
local beef burger approx weight Beef 500g,Beef & Processed Meat,3,3,Beef & Processed Meat
nestle pure life triple berry sparkling water 12 Pure 360ml,Water,38,38,Water
يانسون 20 ظرف مغلف العطار يانسون,"Tea, Coffee & Hot Drinks",34,35,"Tins, Jars & Packets"
tiffany digestive natural wheat biscuits ram Tiffany 30G,Biscuits & Cakes,4,4,Biscuits & Cakes
ريتش بيك بيتى بان ريتش,Bakery,1,28,"Rice, Pasta & Pulses"
ايزيس تيليو 12 فلتر ايزيس,"Tea, Coffee & Hot Drinks",34,28,"Rice, Pasta & Pulses"
كوكاكولا كانز كوكاكولا,Soft Drinks & Juices,30,7,Chips & Crackers
عبور لاند جبنه اسطنبولي تترا عبور,Dairy & Eggs,12,3,Beef & Processed Meat
دولفين تونه قطع سهلة دولفين 185جم,"Tins, Jars & Packets",35,20,Laundry & Detergents
yellow apple by weight -,Vegetables & Fruits,36,15,Fruits
كوكاكولا 330م كوكاكولا,Soft Drinks & Juices,30,7,Chips & Crackers
بيبسى كانز بيبسى,Soft Drinks & Juices,30,30,Soft Drinks & Juices
montana frozen green peas m Montana 400g,Vegetables & Fruits,36,11,Cooking Ingredients
لانشون بقرى حلوانى بهار لانشون,Beef & Processed Meat,3,8,"Chocolates, Sweets & Desserts"
علبه بسبوسه ساده صغير وزن علبه,Sweets & Desserts,33,30,Soft Drinks & Juices
corona milk chocolate rams Corona 35g,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
lipton yellow label tea 25 teabags Tea,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
bisco misr biscuit 1k Bisco,Biscuits & Cakes,4,4,Biscuits & Cakes
وينديكس منظف وملمع الزجاج لمعان لايترك أي أثر باللافندر وينديكس ٧٥٠مل,Cleaning Supplies,9,20,Laundry & Detergents
ريتش بيك بيتى بان ريتش 240جم,Bakery,1,28,"Rice, Pasta & Pulses"
فريك فريك,"Rice, Pasta & Pulses",28,3,Beef & Processed Meat
كارفور مياه 15 ل كارفور,Water,38,38,Water
ميكسى مقرمشات عائلي بطعم الكاتشب ميكسى 200جم,Chips & Crackers,7,11,Cooking Ingredients
سفن اب بلاستيك سفن زجاجة,Soft Drinks & Juices,30,30,Soft Drinks & Juices
برسيل مسحو ق يدوي برسيل,Cleaning Supplies,9,9,Cleaning Supplies
خبز باجيت هايبروان بالقطعة خبز,Bakery,1,11,Cooking Ingredients
رو بطاطس بالفلفل الحار رو 140جم,Chips & Crackers,7,28,"Rice, Pasta & Pulses"
americana hot dog Americana 1kg,Beef & Processed Meat,3,3,Beef & Processed Meat
بيرو لايف مياه طبيعيه 15 بيرو,Water,38,38,Water
هدية زيت خليط هدية 700مل,Cooking Ingredients,11,23,Party Supplies And Gifts
الترا سونيك علبه كمامات بدعامه مغلفه 50 ق الترا,"Personal Care, Skin & Body Care",25,9,Cleaning Supplies
واينز صوص واينز 300ج,"Sauces, Dressings & Condiments",29,3,Beef & Processed Meat
برسيل جل خصم برسيل 2.65لتر,Cleaning Supplies,9,6,Candles & Air Fresheners
aquafina water Aquafina 600ML,Water,38,30,Soft Drinks & Juices
زيتون أخضر تشويس كامل زيتون 720جم,"Tins, Jars & Packets",35,22,"Nuts, Dates & Dried Fruits"
danone tasty strawberry yogurt Danone 120g,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
الرشيدي الميزان طحينة الرشيدي 520جم,"Sauces, Dressings & Condiments",29,28,"Rice, Pasta & Pulses"
beyti guava juice Beyti,Soft Drinks & Juices,30,30,Soft Drinks & Juices
مبيض المرحاض منظف ومزيل البقع أزرق العبوة من 10 قطع مبيض,Cleaning Supplies,9,9,Cleaning Supplies
بونجورنو كابتشينو موكا بونجورنو 14ج,"Tea, Coffee & Hot Drinks",34,3,Beef & Processed Meat
نور ملح علبه نور 700جم,"Condiments, Dressings & Marinades",10,6,Candles & Air Fresheners
كولا كوكاكولا كولا 300مل,Soft Drinks & Juices,30,8,"Chocolates, Sweets & Desserts"
عصير راني مانجو تترباك عصير,Soft Drinks & Juices,30,30,Soft Drinks & Juices
صوص سبايسى بورشن صوص,"Sauces, Dressings & Condiments",29,3,Beef & Processed Meat
بامية جيفريكس كبيرة بامية 400جم,Vegetables & Fruits,36,19,"Jams, Spreads & Syrups"
شيكولا بسكويت اوريو شيكولا,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
خل ابيض سندباد خل,"Sauces, Dressings & Condiments",29,6,Candles & Air Fresheners
gebnety cream cheese m Gebnety 500g,Dairy & Eggs,12,12,Dairy & Eggs
زجاجه زجاجه 800مل,Furniture,16,30,Soft Drinks & Juices
أمريكانا بامية زيرو أمريكانا 400جم,Vegetables & Fruits,36,19,"Jams, Spreads & Syrups"
خبز ريتش بيتي بان 1000 2000 2000 خبز,Bakery,1,5,Breakfast Cereals & Bars
مكرونه الملكه 12ك مكرونه,"Rice, Pasta & Pulses",28,8,"Chocolates, Sweets & Desserts"
small water Water,Water,38,38,Water
لمار مشروب ليمون نعناع لمار 200مل,Soft Drinks & Juices,30,30,Soft Drinks & Juices
hayat natural drinking water Hayat 600ml,Water,38,38,Water
نسكافيه جولد 31 بالكراميل نسكافيه 18جم,"Tea, Coffee & Hot Drinks",34,22,"Nuts, Dates & Dried Fruits"
shahd shish chicken m Shahd 500g,Poultry,27,3,Beef & Processed Meat
نستلة فتنس توستز شوفان بالليمون والكمون نستلة 36جم,Chips & Crackers,7,22,"Nuts, Dates & Dried Fruits"
richcuisinechstrips hot Rich-Cuisine-Ch-Strips 1KG,Poultry,27,11,Cooking Ingredients
شيدر مستورد خشالة 0 120 1644 شيدر,Dairy & Eggs,12,18,Home Appliances
ملح ابيض ناعم توب فاليو 500 ملح,Cooking Ingredients,11,30,Soft Drinks & Juices
لا يف جرين بريتزل بالملح 185 لا 180ج,Chips & Crackers,7,30,Soft Drinks & Juices
juhayna yogurt mix strawberry m 3 1 free Juhayna 105g,Dairy & Eggs,12,30,Soft Drinks & Juices
ريس توست ذره كينج ام 15ق ريس,Bakery,1,28,"Rice, Pasta & Pulses"
فولت انريجي درينك فولت 200مل,Soft Drinks & Juices,30,6,Candles & Air Fresheners
ottima spaghetti pasta ram Ottima 500G,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
بربيكيان شراب عصير بربيكيان 250مل,Soft Drinks & Juices,30,30,Soft Drinks & Juices
lindt lindor steak milk Steak 38g,"Chocolates, Sweets & Desserts",8,3,Beef & Processed Meat
سبايسي خلطة كفتة سبايسي 90جم,Cooking Ingredients,11,28,"Rice, Pasta & Pulses"
نستله جالون غيار نستله 19لتر,Water,38,6,Candles & Air Fresheners
بهار مشويات تكا الخطيب بالوزن بهار,Cooking Ingredients,11,22,"Nuts, Dates & Dried Fruits"
corn puffs snacks ketchup Corn,Chips & Crackers,7,11,Cooking Ingredients
ترايدينت لبان بالفراولة خ سكر5ق ترايدينت,"Chocolates, Sweets & Desserts",8,20,Laundry & Detergents
juhayna juice Juhayna 1L,Soft Drinks & Juices,30,30,Soft Drinks & Juices
نستله مياه600م نستله,Water,38,20,Laundry & Detergents
اوراك فراخ مخلية اوراك 500جم,Poultry,27,9,Cleaning Supplies
علبه حلواني العبد علبه,Sweets & Desserts,33,23,Party Supplies And Gifts
كوكاكولا regular كوكاكولا,Soft Drinks & Juices,30,7,Chips & Crackers
ايلو كاتشب سبايسى رام ايلو 500ج,"Sauces, Dressings & Condiments",29,28,"Rice, Pasta & Pulses"
nestle pure fizz lemon Pure 360ml,Water,38,30,Soft Drinks & Juices
خبز عربى 5 حته خبز,Bakery,1,28,"Rice, Pasta & Pulses"
دينر بوكس حار بطاطس وسطكول سلو صغيربيبسي كانز دينر,Soft Drinks & Juices,30,22,"Nuts, Dates & Dried Fruits"
حلواني بيف سلامي مدخن حلواني 250جم,Beef & Processed Meat,3,6,Candles & Air Fresheners
كنور شوربة دجاج مع الشعرية كنور 56جم,"Tins, Jars & Packets",35,27,Poultry
دريم خميره جافه هاينز خل زجاجه دريم 1لتر,Cooking Ingredients,11,34,"Tea, Coffee & Hot Drinks"
برافو رقائق بطاطس شيبسى بالجبن 908ج برافو,Chips & Crackers,7,5,Breakfast Cereals & Bars
خبز توست خبز,Bakery,1,33,Sweets & Desserts
ابليك مرايا كريستال فضى زجاج مربعه ابليك,Furniture,16,6,Candles & Air Fresheners
عصير سكويز عصير,Soft Drinks & Juices,30,30,Soft Drinks & Juices
امريكانا فول مدمس سادة امريكانا 400جم,"Tins, Jars & Packets",35,23,Party Supplies And Gifts
juhayna milk full cream itre Juhayna 1.5L,Dairy & Eggs,12,30,Soft Drinks & Juices
كوكى تشيكن ستربس حار، 1 كيلو كوكى,Poultry,27,7,Chips & Crackers
مازولا مايونيز بالليمون مازولا 340مل,"Sauces, Dressings & Condiments",29,28,"Rice, Pasta & Pulses"
saula bonbon butterscotch candies 25 count Bonbon,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
multi grain bread Grain,Bakery,1,11,Cooking Ingredients
regina pasta shells Regina 400g,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
downy valley dew Downy 300ML,Cleaning Supplies,9,24,Perfumes & Deodorants
مايونيز مايونيز 380جم,"Sauces, Dressings & Condiments",29,30,Soft Drinks & Juices
lido pasta snails Pasta 400g,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
nestl coffee mate coffee creamer Coffee 170g,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
بيوفانا جالون 89 بيوفانا,Water,38,28,"Rice, Pasta & Pulses"
advanced 100 pure coconut oil Advanced 500ml,Cooking Ingredients,11,11,Cooking Ingredients
hyperone fourseasons cake Hyperone,Biscuits & Cakes,4,4,Biscuits & Cakes
عدس اصفر العجمي 1ك عدس,"Rice, Pasta & Pulses",28,35,"Tins, Jars & Packets"
lamar juice different types Juice 200ml,Soft Drinks & Juices,30,30,Soft Drinks & Juices
سويس تشويس سوسيس بقرى جبنه سويس 400جم,Beef & Processed Meat,3,28,"Rice, Pasta & Pulses"
فلفل شطه اخضر 0234 1000 234 فلفل,Vegetables & Fruits,36,36,Vegetables & Fruits
مونجيني بقسماط نص كيلو مونجيني,Bakery,1,8,"Chocolates, Sweets & Desserts"
nestle mega stick chocolate amp almonds Mega 95ml,"Chocolates, Sweets & Desserts",8,13,Disposables & Napkins
chefy mix beef bouillon m Chefy 900g,Cooking Ingredients,11,3,Beef & Processed Meat
بيبسى كانز بيبسى,Soft Drinks & Juices,30,30,Soft Drinks & Juices
كاتشب حار من هيرمان رام كاتشب 340ج,"Sauces, Dressings & Condiments",29,11,Cooking Ingredients
عبور فلفل اخضر رومي وزن 1395 0145 202 عبور,Vegetables & Fruits,36,36,Vegetables & Fruits
افوكادو فريش بالوزن افوكادو,Vegetables & Fruits,36,8,"Chocolates, Sweets & Desserts"
لافاش مكسيكو قشطه لافاش,Dairy & Eggs,12,2,Beef & Lamb Meat
ahmad tea lemon amp ginger Ahmad Bag,"Tea, Coffee & Hot Drinks",34,19,"Jams, Spreads & Syrups"
تونه صن شاين فصوص 000 22000 000 56000 تونه,"Tins, Jars & Packets",35,34,"Tea, Coffee & Hot Drinks"
تيست بيور لانشون بيف بالزيتون تيست 500جم,Beef & Processed Meat,3,3,Beef & Processed Meat
فيليه دجاج بانيه حار أطياب فيليه,Poultry,27,27,Poultry
hayat natural water iters Hayat 8L,Water,38,38,Water
spysi fried chicken mix mild ram Spysi 90g,Cooking Ingredients,11,11,Cooking Ingredients
سفن اب زجاجه بلاستك12 سفن 400مل,Soft Drinks & Juices,30,34,"Tea, Coffee & Hot Drinks"
dina farms fresh milk with strawberry Dina 250Ml,Dairy & Eggs,12,12,Dairy & Eggs
نستلة زبادى مكس توت، رام نستلة 105ج,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
جهينه كلاسيك بريميم عصير جوافه جهينه 1لتر,Soft Drinks & Juices,30,30,Soft Drinks & Juices
نستلة مياة 20 نستلة 600مل زجاجة,Water,38,30,Soft Drinks & Juices
صن شن تونه مفتته حاره صن 185جم,"Tins, Jars & Packets",35,22,"Nuts, Dates & Dried Fruits"
سوتاش لبنه تركيه سوتاش 700جم,Dairy & Eggs,12,32,Sugar & Home Baking
قهوة سريعة التحضير من نسكافيه جولد رام مج قهوة 200ج,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
شيبسى عائلى ملح شيبسى 80جم,Chips & Crackers,7,32,Sugar & Home Baking
queen small ring pasta rams Queen 350g,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
أبو علي كاري أبو 85جم,Cooking Ingredients,11,5,Breakfast Cereals & Bars
نستلة مياة فوارة تفاح نستلة 360مل,Water,38,22,"Nuts, Dates & Dried Fruits"
فرسكا ويفر فينجرز شيكولاته فرسكا,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
ميكسى مقرمشات عائلي بطعم جبنة ميكسى 200جم,Chips & Crackers,7,11,Cooking Ingredients
