embedding_text,category
1 ك الضحى ارز ك,"Rice, Pasta & Pulses"
اكوافينا مياة معدنية اكوافينا 330مل,Water
اونيرو كوكيز اونيرو,Biscuits & Cakes
كاتشب بارد بلاستيك كاتشب 400جم,"Sauces, Dressings & Condiments"
al doha egyptian rice Doha 10kg,"Rice, Pasta & Pulses"
عافيه زيت ذره عافيه 1لتر,Cooking Ingredients
بانيه بانيه,Poultry
milk soya 1 Soya,Dairy & Eggs
صوص الفلفل الحار صوص,"Sauces, Dressings & Condiments"
carrefour sunflower oil Carrefour 900ml,Cooking Ingredients
شرائح تونة أمريكانا بالشطة شرائح 120جم,"Tins, Jars & Packets"
بسكويت نشادر هايبروان بسكويت,Bakery
رويال كركدية شاي رويال كيس,"Tea, Coffee & Hot Drinks"
راني كوكتيل كانز راني 330مل,Soft Drinks & Juices
carrefour whole kernel sweet corn ram Carrefour 180G,"Tins, Jars & Packets"
tunato shredded chili tuna ram Tunato 140G,"Tins, Jars & Packets"
فينجر بسكويت فينجر,Biscuits & Cakes
ايطاليانو مكرونه رام ايطاليانو 400ج,"Rice, Pasta & Pulses"
بريزيدون جبنه ةمثلثات بريزيدون,Dairy & Eggs
كيندر بوينو شيكولاته كيندر 43جم,"Chocolates, Sweets & Desserts"
بسطرمه سنيوريتا بسطرمه,Beef & Processed Meat
صن بايتس فلفل حلو نيه صن 3ج,Chips & Crackers
cup sauce cocktail Cup,"Sauces, Dressings & Condiments"
بيسكاتو بسكويت شورتي بالزبدة من 12 بيسكاتو 80جم عبوة,Biscuits & Cakes
علبه مخلل علبه,"Tins, Jars & Packets"
قهوة سوداء للموكا من جيموكا، رام قهوة 250ج,"Tea, Coffee & Hot Drinks"
50 مياه معدنية صغيره 500 x 1 5.0,Water
1350 خبز فينو متوسط10ق 13.50,Bakery
american garden butter fat free popcorn microwave American 240g,Chips & Crackers
elbow pasta Pasta 1kg,"Rice, Pasta & Pulses"
برطمان زجاج برطمان,Furniture
سجق عادى بالوزن سجق,Beef & Processed Meat
شويبس شويبس 1.75لتر,Soft Drinks & Juices
دره صلصه حاره دره 88مل,"Tins, Jars & Packets"
عنب بلدى عنب,Vegetables & Fruits
americana peas Americana 900G,Vegetables & Fruits
نسكافيه 31 نكهات نسكافيه,"Tea, Coffee & Hot Drinks"
galaxy kenz extra dark chocolate ram Kenz 90g,"Chocolates, Sweets & Desserts"
سيجافريدو كبسولات قهوة كريمة ريكا 10 كبسولات سيجافريدو,"Tea, Coffee & Hot Drinks"
مياه ضغيره مياه,Water
بابريكا بابريكا,Cooking Ingredients
السنبلة خضار مشكل السنبلة 400جم,Vegetables & Fruits
خل فودي خل 1لتر,"Sauces, Dressings & Condiments"
لمبادا ويفر محشو 1000 1 1000 لمبادا,Biscuits & Cakes
جهينه عصير بريميم برتقال جهينه 1لتر,Soft Drinks & Juices
pepsi Pepsi,Soft Drinks & Juices
دانون دانون 120ج,Dairy & Eggs
يوست اوريو رام يوست 311ج,"Chocolates, Sweets & Desserts"
cheese Cheese,Dairy & Eggs
شاي العرق سوس العشبي شاي 75جم,"Tea, Coffee & Hot Drinks"
اناناس شجره اناناس,Vegetables & Fruits
هاينز صلصة طماطم هاينز,"Tins, Jars & Packets"
هوهوز كيك محشو كريمه جامب هوهوز,Biscuits & Cakes
تيمبارك مشروب تفاح وبطيخ تيمبارك 250مل,Soft Drinks & Juices
لانشون حلوانى زيتون لانشون,Beef & Processed Meat
بيبتو بيبتو 135جم,"Chocolates, Sweets & Desserts"
knorr shawerma mix m dis 10 Knorr 30g,Cooking Ingredients
red bull Red 250ml,Soft Drinks & Juices
ويفر رولز أبو عوف بالوزن ويفر,Biscuits & Cakes
زبادى جهينه طبيعى زبادى,Dairy & Eggs
قطعة ستريبس حار ستريبس,Poultry
كانز كانز,Soft Drinks & Juices
هاينز مسترده سكوير هاينز 245ج,"Sauces, Dressings & Condiments"
المتحده بسطرمة بلدى المتحده,Beef & Processed Meat
درة كاتشب طماطم بارد، رام درة 900ج,"Sauces, Dressings & Condiments"
بلجيكي 50٪ شوكولاتة داكنة بلجيكي 100جم,"Chocolates, Sweets & Desserts"
tastpure italian sausage Tast.Pure 400g,Beef & Processed Meat
بيك رولز بالكاتشب بيك,Chips & Crackers
تايجر بطاطس شيبس ليمونشطه تايجر,Chips & Crackers
shahd chicken pane 1 k Shahd,Poultry
بطاطس جاكر بالملح بطاطس 75جم,Chips & Crackers
حليب مقشود ج حليب,Dairy & Eggs
hans instant coffee gold 6 Hans 20G,"Tea, Coffee & Hot Drinks"
صلصة طماطم صلصة 360جم,"Tins, Jars & Packets"
شعرية من رويال شعرية 400جم,"Rice, Pasta & Pulses"
ملمع لوربكس للاثاث ملمع 400مل,Cleaning Supplies
ليبتون شاي أسود بالهيل شاي ليبتون كيس,"Tea, Coffee & Hot Drinks"
بلاستيك اللوزام باننجر بلاستيك32 بلاستيك,Furniture
barbican pomegranate malt beverage Barbican 250Ml,Soft Drinks & Juices
العروسه شاى رام العروسه 250ج,"Tea, Coffee & Hot Drinks"
كوكى بيف سجق شرقي، رام كوكى 900ج,Beef & Processed Meat
فيليدا غيار مكنسة سكوبا للمنزل فيليدا,Cleaning Supplies
1275 ريتش بيتى بان 12.75 235ج,Bakery
مسافى عصير مانجو مسافى 1لتر,Soft Drinks & Juices
pears Pears 1kg,Vegetables & Fruits
ايزيس مياه طبيعية، من20 ايزيس 600مل عبوة,Water
زنجبيل ايزيس 20 فت زنجبيل,"Tea, Coffee & Hot Drinks"
طعمة جبنة مثلثات 1665 1 1665 طعمة,Dairy & Eggs
كلوركس كنور عادي كلوركس,Cleaning Supplies
برايم فودز بسطرمة فاخر برايم,Beef & Processed Meat
tomato paste Tomato 360g,"Tins, Jars & Packets"
leibniz zoo biscuits original Zoo 100g,Biscuits & Cakes
ب مفروم صغير ب,Beef & Processed Meat
البوادى طحينه البوادى 350جم,"Sauces, Dressings & Condiments"
ثوم صيتي ثوم,Vegetables & Fruits
تايجر سويت شيلي 10 ك تايجر 5ج,Chips & Crackers
زجاجه فيروز اناناس زجاجه 1لتر,Soft Drinks & Juices
مولتو ميكس كريمة وفراولة مولتو,Bakery
بنجر وزن بنجر,Vegetables & Fruits
دينا عصير دينا 250مل,Soft Drinks & Juices
cola m M,Soft Drinks & Juices
سبينس بيض احمر سبينس,Dairy & Eggs
نسكافيه كلاسيك بوتش رام نسكافيه 18ج,"Tea, Coffee & Hot Drinks"
الملكة مكرونة جامبو شعرية 1ك الملكة,"Rice, Pasta & Pulses"
هوهوز هوهوز,Biscuits & Cakes
بريزيدون جبنه بالقشطه اكواب بريزيدون 500جم,Dairy & Eggs
الضحى ذرة فيشار الضحى 50ج,"Rice, Pasta & Pulses"
س دينر كومبو وسط حاركول سلو صغيربيبسي كانز س,Soft Drinks & Juices
فلفل أسود حصى من زمزم رام فلفل 70ج,Cooking Ingredients
ايون شيكولاتة دارك برتقال ايون 90جم,"Chocolates, Sweets & Desserts"
500 egp مياه حياه 1 5.00 600مل,Water
ببيتو حلوي ببيتو,"Chocolates, Sweets & Desserts"
كوكاكولا مياه غازيه بلاستيك كوكاكولا 300مل,Soft Drinks & Juices
lindt lindor surtido chocolate Surtido 200g Box,"Chocolates, Sweets & Desserts"
schweppes bold malt beverage Schweppes 300ml,Soft Drinks & Juices
انسام علبه بخور عيدان جلاكسى انسام,Sweets & Desserts
شيخون خيار قشه مستورده kg شيخون,"Tins, Jars & Packets"
vanish liquid stain remover of 2 Vanish 900ml Pack,Cleaning Supplies
فيروز اناناس كانز فيروز,Soft Drinks & Juices
614 sauce garlic 1 6.14,"Sauces, Dressings & Condiments"
حليب المراعى 700 حليب,Dairy & Eggs
فارم فريتس بطاطس ستيك هاوس فارم 750جم,Vegetables & Fruits
coca cola Coca,Soft Drinks & Juices
شتورا سمبوسك لحمه رقائق شتورا 320جم,Bakery
bab elsham syrian ram Bab 40g,Cooking Ingredients
الميزان طحينه الميزان 780جم,"Sauces, Dressings & Condiments"
بيبسي زجاجه تربو2 بيبسي,Soft Drinks & Juices
حلوانى صدور رومى مدخنه حلوانى,Poultry
جرين لاند جبنه موزاريلا مبشور جرين 325جم,Dairy & Eggs
كاليفورنيا فول كاليفورنيا 400جم,"Tins, Jars & Packets"
special turkish coffee medium blended m Turkish 200g,"Tea, Coffee & Hot Drinks"
جبنة دومتي فيتا بلس بطعم البسطرمة رام جبنة 500ج,Dairy & Eggs
بيض احمر طبق بيض,Dairy & Eggs
زجاجه مياه رياضيه ى بغطاء كليبس زجاجه 800مل,Furniture
le phenicien virgin 750250m Phenicien,Cooking Ingredients
موفينبيك ايس كوفى ميكاتو موفينبيك 200ج,"Tea, Coffee & Hot Drinks"
الكبوس شاى ناعم الكبوس 250جم,"Tea, Coffee & Hot Drinks"
nestle pure life water15 Pure,Water
عصير فروتي بتفاح عصير 1لتر,Soft Drinks & Juices
دوريتوس فلفل الحلو دوريتوس,Chips & Crackers
لورينز شيبس ملح لورينز 100جم,Chips & Crackers
ويفر ايون وايت شوكولاتة ويفر 38جم,"Chocolates, Sweets & Desserts"
المراعى 4 لبن خالى الدسم المراعى,Dairy & Eggs
وادى فود زيتون اخضر وادى 600جم,"Tins, Jars & Packets"
اكو فينا مياه معندية اكو,Water
جلاكسى جواهر كاسكت جلاكسى 200جم,"Chocolates, Sweets & Desserts"
قويدر علبه كنافه قويدر,Sweets & Desserts
فيرن سمنه 1ك فيرن,Cooking Ingredients
مياه طبيعيه من نستله عبوه 12 مياه 1.5لتر,Water
زجاجه ديكفر سيريو زجاجه,Furniture
دومتى سندوتش جبنه كريمه جامبو دومتى,Bakery
المراعى صدور رومى جاهزم 17795 0282 5018 المراعى,Poultry
وش بتشينو بلاستيك بنى غ 1 فتحه مستطيل وش,Furniture
20 carton Carton 600ml,Water
رقائق بطاطس حجم عائلى رام رقائق 135ج,Chips & Crackers
خس خس,Vegetables & Fruits
طحينة بالوزن طحينة,"Sauces, Dressings & Condiments"
جبنة شيدر نيوزلاندي جبنة,Dairy & Eggs
شاوت لازاله البقع من الملابس ل شاوت 500مل,Cleaning Supplies
isis organic hibiscus 50 teabags Isis,"Tea, Coffee & Hot Drinks"
بابلي شيكولاتة سادة رام بابلي 40ج,"Chocolates, Sweets & Desserts"
هاينز كاتشب دولباك هاينز 285جم,"Sauces, Dressings & Condiments"
بهارات ابو عوف السبع رام بهارات 80ج,Cooking Ingredients
top value brown lentils 1k Top,"Rice, Pasta & Pulses"
بيبسى انوان بيبسى 1لتر,Soft Drinks & Juices
زبدة علبه زبدة,Cooking Ingredients
خبز الثوم سوبريم خبز,Bakery
حواء مكرونه مرمريه حواء 1كجم,"Rice, Pasta & Pulses"
ارز مصري الواحة ارز 900جم,"Rice, Pasta & Pulses"
كيندر شيكولاته كيندر 21ج,"Chocolates, Sweets & Desserts"
نيدو فورتي جرو مسحوق حليب نيدو 25جم,Dairy & Eggs
امريكانا ذره حلوه امريكانا,"Tins, Jars & Packets"
كرواسون باجبنة الشيدر كرواسون,Bakery
kohinoor gold basmati extra long rice Kohinoor 1kg,"Rice, Pasta & Pulses"
maggi chicken cream soup ram Maggi 71g,"Tins, Jars & Packets"
الزهار جلاش الزهار 700جم,Bakery
water 1 Water,Water
كرات الجبن اورينتال كرات 60جم,Chips & Crackers
علبه تحرير علبه,"Rice, Pasta & Pulses"
le 2800 water mineral large 1 28.00,Water
ملح معالج باليود من ماسا رام ملح 300ج,Cooking Ingredients
لورينز ناتشورالز مملح لورينز 100جم,Chips & Crackers
علبه وسط 1 ح ش علبه,"Rice, Pasta & Pulses"
fisherman salmon in olive oil ram Fisherman 170G,"Tins, Jars & Packets"
الضحى مكرونة خواتم الضحى 400جم,"Rice, Pasta & Pulses"
roshen laxmi milk chocolate with crunchy cracker and cocoa hazelnut filling ram Roshen 110g,"Chocolates, Sweets & Desserts"
el doha lupine Doha 500g,"Rice, Pasta & Pulses"
فارم صدور روكى مدخنه فارم,Poultry
طحينة حلواني طحينة,"Sauces, Dressings & Condiments"
مياه مياه 6لتر,Water
نستلة مياه ك اوص نستلة كرتونة,Water
faragello roasted beef slices Roasted 150g,Beef & Processed Meat
فرازه شيش طاووق 4 4950 1 4950 فرازه,Poultry
ميتكو سجق شرقى ميتكو 350جم,Beef & Processed Meat
تايجر بطاطس تايجر 40ج,Chips & Crackers
هاينز صلصة طماطم ١٥٠٠ ٢ ٣٠٠٠ هاينز,"Tins, Jars & Packets"
abu ali hawawshi spices ram Abu 40g,Cooking Ingredients
قهوة اسبرسو لونجو من جيموكا 10 قرص قهوة,"Tea, Coffee & Hot Drinks"
mini baguette Mini,Bakery
ro chipsy salt 57 Ro 60g,Chips & Crackers
بيبى تكس مشابك بلاستيك سوبر 1 بيبى,Cleaning Supplies
لاكتيل دويتو خوخ لاكتيل 440جم,Dairy & Eggs
تست بيور بيف بيكون مدخن وزن تست,Beef & Processed Meat
americana bean plain m 10 discount Americana 400g,"Tins, Jars & Packets"
دجاج مقلي حار مع بطاطس أطياب دجاج,Poultry
العبد بسكويت شوكلاته ق2 العبد,Biscuits & Cakes
دانون دانجو حليب محلى شيكولاته دانون 200مل,Dairy & Eggs
كنور شوربه كريمه مشروم رام كنور 75ج,"Tins, Jars & Packets"
عيش فينو 10 05 5 عيش,Bakery
giardino barbecue sauce rams Giardino 220G,"Sauces, Dressings & Condiments"
biscomisr luxe biscuits with cocoa Biscomisr,Biscuits & Cakes
halwani plain chicken luncheon Chicken 100g,Beef & Processed Meat
maltesers chocolate 37G 37g,"Chocolates, Sweets & Desserts"
500 egp مياه حياه 1 5.00 600مل,Water
لانشون لحم ريتش لانشون,Beef & Processed Meat
rich turkey lobes kg Rich,Poultry
loacker tortina dark Tortina 21g,Biscuits & Cakes
ماجى مرقة دجاج8ق ماجى,Cooking Ingredients
عصير نكتار خوخ من دومتي، عصير 235مل,Soft Drinks & Juices
al doha mastic m Doha 3g,Cooking Ingredients
تونة البستاني فصوص 0 تونة ١٨٥جم,"Tins, Jars & Packets"
سجق شرقي سجق 700جم,Beef & Processed Meat
اكوافينا مياه اكوافينا 330مل,Water
منظف زجاج يفننج ستار عرض منظف,Cleaning Supplies
1995 بريدواى توست 19.95 500ج,Bakery
كرانشى شيتوس حار بالليمون كرانشى,Chips & Crackers
whole chicken Chicken,Poultry
roots lemon with mint flavour herbal tea bags 30 sachets Roots,"Tea, Coffee & Hot Drinks"
قرص ساده قرص,Bakery
dark coffee without cardamom m Dark 200g,"Tea, Coffee & Hot Drinks"
صودا لمون سبرايت صودا 330مل,Soft Drinks & Juices
كاليفورنيا جاردن سردين زيت صويا كاليفورنيا 125ج,"Tins, Jars & Packets"
اكوا فينا مياه معدنيه اكوا 18.5لتر,Water
250 1 water nestle 25.0 0.24L,Water
بيبسى كانز بيبسى,Soft Drinks & Juices
aqua delta drinking water 12 x itre Aqua 1.5L Bottle,Water
جهينه بريميم اغناناس جهينه 1لتر,Soft Drinks & Juices
كانز كانز,Soft Drinks & Juices
مياه معدنية صغيرة مياه,Water
مياة نستلة كبير كرتونة كرتونة,Water
برجر دجاج برجر,Beef & Processed Meat
biscato spice ginger cinnamon biscuits Biscato,Biscuits & Cakes
molly s chocolate pie S 360G,Bakery
مكرونه خواتم رام مكرونه 350ج,"Rice, Pasta & Pulses"
riva coconut milk drink with granules Riva 290ml,Soft Drinks & Juices
سمبوسك لحمه سمبوسك,Bakery
مياة معدنية دسانى ضد الاكسده مياة,Water
لانشون حلواني ساده بالفلفل لانشون,Beef & Processed Meat
جبنة فيتا دومتي بلس جبنة 1كجم,Dairy & Eggs
star vermecelli pasta Star 400g,"Rice, Pasta & Pulses"
الزعفران ذره فيشار الزعفران 500جم,"Rice, Pasta & Pulses"
بامية لولو مجمدة ٤٠٠ غرام بامية,Vegetables & Fruits
8330 العميد بن 83.30 200ج,"Tea, Coffee & Hot Drinks"
nestle pure fizz triple berry sparkling water Pure 360ml,Water
ليبتون رام ناعم ليبتون 250ج,"Tea, Coffee & Hot Drinks"
شيش طاووك الوفاء فريش وزن شيش,Poultry
بيك رولز بالبيتزا من 30 بيك 36جم عبوة,Chips & Crackers
بيبسى كانز 355 م بيبسى,Soft Drinks & Juices
el zahar gollash pastry Zahar 400g,Bakery
بيبسى كانز بيبسى,Soft Drinks & Juices
تشيكن سبايسي سائد فاموس ستار ساندوتش بالجبن بطاطا عادي متوسط بيبسي كانز تشيكن,Bakery
sliced beef liver by weight Beef,Beef & Processed Meat
watersr Water-S-R,Water
مشروب باربيكان عادى مشروب,Soft Drinks & Juices
ريجينا مكرونه شعريه ريجينا 1كجم,"Rice, Pasta & Pulses"
حليب كامل الدسم سادة ميلك مان حليب,Dairy & Eggs
al doha curry shaker Doha 70G,Cooking Ingredients
أميريكان جاردن فطر كامل أميريكان 425جم,"Tins, Jars & Packets"
هاريبو تركيا جيلى ورمس هاريبو 160جم,"Chocolates, Sweets & Desserts"
green tea w mint loose Green 250g,"Tea, Coffee & Hot Drinks"
regular water Water,Water
el omda plain fava beans m Omda 300g,"Tins, Jars & Packets"
بيك رولز عائلي بالملح بيك,Chips & Crackers
جالون مياه جالون,Water
ludwik concentrated dishwasher Concentrated,Cleaning Supplies
ritter sport raspberry rose Ritter 100G,"Chocolates, Sweets & Desserts"
سمن الحلوب المثالية سمن 2كجم,Cooking Ingredients
شيفي مكس كاتشب، رام شيفي 340ج,"Sauces, Dressings & Condiments"
برجر لحم أمريكانا برجر,Beef & Processed Meat
a 7 gr red drink premium A,Soft Drinks & Juices
taste turkey lobes spicy paprika kg Taste,Poultry
بيبسى لتر بيبسى,Soft Drinks & Juices
pizza slice mat 175m x 145m Pizza,Bakery
sunshine express tuna chunks m Sunshine 150g,"Tins, Jars & Packets"
safi water 330m Safi,Water
اورينت ورق عنب ساده اورينت 450جم,Vegetables & Fruits
بيور عصير برتقال بيور 1لتر,Soft Drinks & Juices
أجنحة دجاج أطياب أجنحة 700جم,Poultry
علبه تحرير علبه,"Rice, Pasta & Pulses"
masreya pasta shells Masreya 350g,"Rice, Pasta & Pulses"
باتيه جبنة زيتون وزعتر باتيه علبة,Bakery
choice flax seed oil Choice 500g,Cooking Ingredients
برنجلز بطاطس برنجلز 40ج,Chips & Crackers
شنطه بلاستيك فينول وسط شنطه,Furniture
حذاء بحر بلاستيك حذاء,Footwear
ديمه ريتش ريتش بسكويت ديمه 45جم,Biscuits & Cakes
أكوافينا مياه طبيعية من 12 أكوافينا 1.5لتر عبوة,Water
بيبسى كانز بيبسى,Soft Drinks & Juices
skittles fruits candy Fruits 38g,"Chocolates, Sweets & Desserts"
chicketita pane chicken burger spicy Chicketita 1kg,Poultry
770 مياه معدنية صغيرة 770 x 1 7.70,Water
خير زمان عنب احمر تتراباك خير 250جم,Fruits
عصير رانى مانجو عصير 240مل,Soft Drinks & Juices
rich bake toast normal Rich 500g,Bakery
نسكافيه اسبريسو ظرف علبه25 نسكافيه 1.8جم,"Tea, Coffee & Hot Drinks"
hyperone danish Hyperone,Bakery
al karama low fat sambousak ram Karama 500G,Bakery
جهينه زيادى ساده جهينه 105جم,Dairy & Eggs
بريزيدون علبه رام فينتا بريزيدون 500ج,Dairy & Eggs
rich beef bacon kg Rich,Beef & Processed Meat
دلمار شاي دلمار,"Tea, Coffee & Hot Drinks"
جيفركس شوربة خضار جيفركس 400جم,Vegetables & Fruits
بيسكو مصر بسكويت شاي بيسكو,Biscuits & Cakes
البوادى طحينه البوادى 255جم,"Sauces, Dressings & Condiments"
مياة معدنية من صافي، مياة 330مل,Water
ميموريز ويفر بكريمة البندق ميموريز 40جم,Biscuits & Cakes
فاين كلاسيك مناديل علب 200 منديل فاين,Disposables & Napkins
rose khoshala light meat tuna in sunflower oil Rose 200g,"Tins, Jars & Packets"
واد خل 12 واد 1لتر,"Sauces, Dressings & Condiments"
هاينز مايونيز لايت هاينز 310جم,"Sauces, Dressings & Condiments"
علبه ابوطارق علبه,"Rice, Pasta & Pulses"
كوكاكولا علب كوكاكولا,Soft Drinks & Juices
بريك بسكويت بالكراميل بريك 50ج,Biscuits & Cakes
لتر 15مياه نستله بيور لايف لتر,Water
شبكه برتقال 2ك شبكه,Vegetables & Fruits
بطاطس رام 1100 2008 بطاطس 1.825ج,Vegetables & Fruits
ابو عوف بريتزل جبنة ابو,Chips & Crackers
دانون دانيت انواع دانون 100جم,Dairy & Eggs
لونج شيبسي سويت شيلى لونج 75ج,Chips & Crackers
الضحى ذرة فيشار بس 1575 1 1575 الضحى ٥٠٠جم,"Rice, Pasta & Pulses"
عصير اناناس نكتار من بارادايس، عصير 1لتر,Soft Drinks & Juices
حليب محلى شيكولاته المراعى حليب,Dairy & Eggs
domty juice types iter Domty 1l,Soft Drinks & Juices
ريتش بيك بقسماط 1000 1000 1000 ريتش,Bakery
فانتاأخضر فانتاأخضر 2.45لتر,Soft Drinks & Juices
زاهر حليب بقرى كامل الدسم زجاجه زاهر 1لتر,Dairy & Eggs
divatol antiseptic multiple Antiseptic 500ml,Cleaning Supplies
ريو ماري سلطة تونة خلطة الذرة ٢ x ريو ١٦٠جم,"Tins, Jars & Packets"
gimoka gran gusto coffee Gimoka 250g,"Tea, Coffee & Hot Drinks"
dolphin tuna gold slices with lemon Tuna 170g,"Tins, Jars & Packets"
durra cold ketchup drais 230hot Durra 900g,"Sauces, Dressings & Condiments"
فرجللو روست بيف شرائح فرجللو 150جم,Beef & Processed Meat
ايطاليانو مكرونه فرن ايطاليانو,"Rice, Pasta & Pulses"
dek classico ground coffee Dek,"Tea, Coffee & Hot Drinks"
جالون ياه نستله جالون 18.9لتر,Water
جورمى بطاطس ويدجز متبله جورمى,Vegetables & Fruits
taste frankfurter m 21 Taste 200g,Beef & Processed Meat
دونتس انواع 10 دونتس,Bakery
كيك فانيليا ماكس من تودو كيك,Biscuits & Cakes
roots green tea with mint 50 teabags Roots,"Tea, Coffee & Hot Drinks"
اليمنى بن محوج غامق اليمنى 100جم,"Tea, Coffee & Hot Drinks"
امتنان عسل زجاج برسيم امتنان,"Jams, Spreads & Syrups"
صدور فراخ فيليه فريش بالوزن فتح صدور,Poultry
butterscotch cake small 1pc Butterscotch,"Chocolates, Sweets & Desserts"
دومتي جبنة ملح خفيف بلاستيك دومتي,Dairy & Eggs
مفروم كندوز وزن مفروم,Beef & Processed Meat
ستار مكرونة قواقع ستار 1كجم,"Rice, Pasta & Pulses"
عدس اصفر العجمي 1ك عدس,"Rice, Pasta & Pulses"
جهينه رايب ليمون وشاى اخضر جهينه 440جم,"Tins, Jars & Packets"
كسكسى حبة كاملة كسكسى,"Rice, Pasta & Pulses"
دايت سفن دايت,Soft Drinks & Juices
ليه ضانى ليه,Beef & Processed Meat
بيبسى كانز بيبسى 355مل,Soft Drinks & Juices
عسل اسود بلاستيك الميزان عسل,"Jams, Spreads & Syrups"
ليون رقائق بالكاتشب 74 ليون 84جم,Chips & Crackers
موز بلدي موز,Vegetables & Fruits
نحمة الزيتون خل ط 775 1 775 نحمة,"Sauces, Dressings & Condiments"
pure mustard oil Pure 250ml,"Sauces, Dressings & Condiments"
علبه الكمامه لانا ماسك برو 50 علبه,"Personal Care, Skin & Body Care"
ويندوز جبنه 9398 ويندوز,Chips & Crackers
عصير بيتى ص عصير,Soft Drinks & Juices
alreef almasry baladi eggs Eggs,Dairy & Eggs
حلواني تركي بسطرمة مدخن حلواني,Poultry
ذا ميت فارم اسكالوب 1كيلو ذا,Beef & Processed Meat
دومتى كيزر ساده 4ق دومتى,Bakery
hmto pie biscuits with chocolate Hmto 104g,Biscuits & Cakes
فيلية دجاج مشوي أطياب فيلية,Poultry
2 براديس ايس كريم شيكولاتة 1200 2400 براديس,"Chocolates, Sweets & Desserts"
البوادي طحينه البوادي 550جم,"Sauces, Dressings & Condiments"
مانجو زبديه مانجو,Vegetables & Fruits
باتيه فيتا نعناع قطعة 1475 2 2950 باتيه,Bakery
juhayna orange nectar Juhayna 200ml,Soft Drinks & Juices
كرونا شوكو كرونا,"Chocolates, Sweets & Desserts"
ريحانة فول مجروش ريحانة 500جم,"Rice, Pasta & Pulses"
ناجتس دجاج حلواني ناجتس 400جم,Poultry
haj adnan malban with mistica m Haj 375g,Bakery
koki chicken pane 8pcnuggets 20pc Koki,Poultry
جهينه عصير تفاح كلاسيك جهينه 235مل,Soft Drinks & Juices
فيرى ليمون اخضر فيرى 1لتر,Cleaning Supplies
تورتو ويفر شيكولاته وايت كا تورتو,Biscuits & Cakes
امريكانا حمص مسلوق امريكانا 400جم,"Tins, Jars & Packets"
شيدر كمون افنتى شيدر,Dairy & Eggs
بيروسول مبيد الحشرات 1000 1450 1450 بيروسول 300مل,Cleaning Supplies
ماجى خلطه بشاميل بالجبنه ماجى 75جم,Cooking Ingredients
بيبسي كانز جيب بيبسي,Soft Drinks & Juices
لولو بازلاء خضراء مجمدة رام لولو 400ج,Vegetables & Fruits
جهينه مانجو جهينه 200مل,Soft Drinks & Juices
علبه نسكافيه ظرف علبه 35جم,"Tea, Coffee & Hot Drinks"
جبنه بيضاء دوبل كريم كيلو جبنه,Dairy & Eggs
جهينة زبادو فراولة رام جهينة 220ج,Dairy & Eggs
rialto crakks cheese snack Crakks 50g,Chips & Crackers
atyab beef kofta Atyab 900G,Beef & Processed Meat
فايروز اناناس كانز م330 3 65 195 فايروز,Soft Drinks & Juices
pringles potato crisps hot and spicy flavour ram Potato 40g,Chips & Crackers
remia french salad dressing Remia 250ml,"Sauces, Dressings & Condiments"
فوودى ذره حلوه معلب فوودى 400جم,"Tins, Jars & Packets"
جبنة حلوم 2 13 26 جبنة,Dairy & Eggs
لسان عصفور ستار لسان,"Rice, Pasta & Pulses"
بريل سائل بريل 980ج,Cleaning Supplies
سن توب عصير كوكتيل سن 250جم,Soft Drinks & Juices
برافو شيبس بالفلفل الحار والليمون 47رام برافو 54ج,Chips & Crackers
اوراك بالعظم 1كيلو الوطنيه فرى اوراك,Poultry
herman mayonnaise Herman 473ML,"Sauces, Dressings & Condiments"
بيبسى كانز بيبسى 355مل,Soft Drinks & Juices
جبنه قشطه 1ك جبنه,Dairy & Eggs
6439 drumsticks chicken resh 64.39,Poultry
koki gold breaded chicken fillet home style Koki,Poultry
باكيت ك باكيت,Bakery
haribo fizz mix r Haribo 70G,"Chocolates, Sweets & Desserts"
حلواني بيف برجر 1 ك حلواني,Beef & Processed Meat
علبه مخلل صغيره علبه,"Tins, Jars & Packets"
علبه مناديل بدرج ايكو علبه,Disposables & Napkins
علوش بانيه وزن علوش,Poultry
فورنو بطاطس مخبوزه بالطماطم فورنو,Chips & Crackers
halwani chicken strips spicy Chicken 1kg,Poultry
توينكيز كعكة إسفنجية بأيستنج الشوكولاتة توينكيز,Biscuits & Cakes
سبرايت سبرايت 800مل,Soft Drinks & Juices
كلوركس 15 بلافندر 2250 1 000 2250 كلوركس 700مل,Cleaning Supplies
nestle pure life fizz sparkling water green apple Pure 360ml,Water
رويال شاى ريجيم 25فتله رويال,"Tea, Coffee & Hot Drinks"
كوكى ستربس توفير كوكى,Poultry
ايلو جود فرنس تكساس برجر صوص ايلو 250جم,"Sauces, Dressings & Condiments"
domty natural feta cheese Domty 500G,Dairy & Eggs
مايونيز جياردينو مايونيز 280جم,"Sauces, Dressings & Condiments"
هديه زيت قلى هديه 700مل,Cooking Ingredients
اعشاب ينسون رويال 20فتله 2 مج اعشاب,"Tea, Coffee & Hot Drinks"
coriander powder approx weight Coriander 150g,Cooking Ingredients
أمريكانا بازلاء أمريكانا 900جم,"Tins, Jars & Packets"
iceberg lettuce pcs Iceberg,Vegetables & Fruits
سبيجا فيل 25 مكرونة سبيجا 400جم,"Rice, Pasta & Pulses"
نعمه سمن بلدى نعمه 500جم,Cooking Ingredients
عبدالمعبود بن فاتح مخصوص عبدالمعبود 200جم,"Tea, Coffee & Hot Drinks"
